Exchange,Token,Categories,Trading Pair,Market,Last Traded At,Bid/Ask Spread Percentage,Volume,Current Price (USD),Market Cap (USD),Total Volume (USD),"High (24h, USD)","Low (24h, USD)","Price Change (24h, USD)",Price Change Percentage (24h),Price Change Percentage (7d),Price Change Percentage (14d),Price Change Percentage (30d),Price Change Percentage (60d),Price Change Percentage (200d),Price Change Percentage (1y),Trading Volume (24h),Market Cap Change (24h),Market Cap Change Percentage (24h)
kucoin,MPLX,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:06:21+00:00,0.013448%,91993.7381,0.289424,285823411,928473,0.303341,0.286958,0.00246536,0.85913,5.55023,15.50519,7.63839,-21.84569,61.24256,303.45502,928473,2131014,0.75117
kucoin,PORTAL,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:20:12+00:00,0.104203%,234588.29,0.287884,48075596,22100245,0.301044,0.280037,0.00617936,2.19356,8.5352,20.05943,1.16874,-37.12616,-87.52066,0.0,22100245,788287,1.66702
kucoin,RENDER,"Artificial Intelligence (AI), Metaverse",USDT,KuCoin,2024-09-20T01:20:14+00:00,0.059172%,215443.64,5.05,1982829168,325612530,5.28,5.01,0.01266928,0.25139,-2.54185,7.76283,12.65304,-27.26108,-32.98055,215.56474,325612530,1428530,0.0721
kucoin,LINA,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:19:01+00:00,0.024492%,85445722.3251,0.00407785,27546970,6331506,0.00422299,0.00405802,-1.765528179914e-05,-0.43109,2.73379,10.4807,-2.99248,-33.69512,-69.37168,-61.96142,6331506,-110074.34912,-0.398
kucoin,XDC,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:20:05+00:00,0.070771%,7247754.3369,0.02819486,420702488,4503870,0.02832599,0.02794835,2.591e-05,0.09197,6.82827,8.15191,6.62968,-6.09175,-39.37578,-47.57782,4503870,321356,0.07644
kucoin,POPCAT,Meme,USDT,KuCoin,2024-09-20T01:20:13+00:00,0.146959%,2193184.6,0.887091,864907415,143524271,0.930297,0.84177,0.04532039,5.38394,34.40365,69.95624,105.7435,-5.07952,979.58507,0.0,143524271,30353177,3.63705
kucoin,DOGS,Meme,USDT,KuCoin,2024-09-20T01:20:14+00:00,0.208333%,3238003056.739195,0.00096115,495961021,369541962,0.0010119,0.00095538,5.77e-06,0.60357,-7.81171,-8.83389,0.0,0.0,0.0,0.0,369541962,1443123,0.29182
kucoin,PYR,"Gaming (GameFi), Metaverse",USDT,KuCoin,2024-09-20T01:20:04+00:00,0.059851%,99722.3137,2.68,63989429,6294259,2.79,2.65,0.03138557,1.18339,2.33237,9.68065,-8.8466,-26.48573,-68.33962,-20.58371,6294259,618130,0.97541
kucoin,ARKM,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:19:03+00:00,0.071717%,320896.3063,1.12,311068632,99114636,1.16,1.076,0.03976052,3.69516,3.32508,18.09114,7.01717,-32.48738,-58.5206,179.20903,99114636,9800771,3.25317
kucoin,PENDLE,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:19:03+00:00,0.155145%,102244.3147,3.36,532912782,95429347,3.5,3.35,-0.1092087515783,-3.14465,-2.48768,25.74015,21.26792,-25.83976,1.79615,422.63787,95429347,-19121687.567887,-3.46386
kucoin,VOXEL,"Gaming (GameFi), Gaming Utility Token",USDT,KuCoin,2024-09-20T01:15:11+00:00,0.06105%,158638.0128,0.16348,31544776,12934070,0.169657,0.162862,-0.00183759879678,-1.11155,-1.2443,14.39784,-23.68935,-4.73914,-49.2817,24.66914,12934070,-261240.4693507,-0.82136
kucoin,PAXG,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:20:06+00:00,0.127805%,83.4713,2589.42,494149124,13832613,2599.4,2557.3,24.32,0.94823,1.33614,3.10978,3.17604,7.35251,28.73679,34.76399,13832613,6379699,1.30793
kucoin,AKT,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:20:07+00:00,0.076888%,179450.9762,2.62,647357733,16537145,2.73,2.6,0.00912364,0.3499,5.54565,17.66926,6.93903,-26.36474,-42.08202,205.91589,16537145,12945089,2.04048
kucoin,GMT,"Gaming (GameFi), Gaming Governance Token",USDT,KuCoin,2024-09-20T01:19:01+00:00,0.076864%,1482960.8321,0.131126,322888716,36418480,0.133183,0.128482,0.00247591,1.92454,-6.60096,11.79613,17.95393,-18.31181,-58.8205,-16.27077,36418480,8784488,2.79668
kucoin,DOGE,"Meme, GMCI Meme Index",BTC,KuCoin,2024-09-20T01:17:43+00:00,0.18105%,726029.5452,0.10419,15224864579,673407616,0.107092,0.10371,3.398e-05,0.03262,1.57692,5.99115,1.35657,-25.65584,-30.21213,65.83583,673407616,44357732,0.2922
kucoin,BIGTIME,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:19:03+00:00,0.166505%,12145552.1134,0.145164,158159890,140898000,0.15511,0.142247,-0.002468922640872,-1.67234,30.68862,90.29195,82.75704,31.87946,-69.11518,0.0,140898000,-965578.836909,-0.6068
kucoin,TURBO,Meme,USDT,KuCoin,2024-09-20T01:20:14+00:00,0.197563%,292815048.0,0.00615515,424918024,193115063,0.00658741,0.00499743,0.00096687,18.63566,70.67658,70.5625,50.20962,-15.11481,601.41578,8550.01384,193115063,69663005,19.6093
kucoin,ORAI,"Artificial Intelligence (AI), AI Agents",USDT,KuCoin,2024-09-20T01:20:03+00:00,0.175346%,110132.5675,5.7,93045876,3266770,5.99,5.52,0.171468,3.10332,6.31252,7.7237,1.41434,-28.65665,-65.39107,217.60855,3266770,2817986,3.12319
kucoin,SKL,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:17:45+00:00,0.143968%,1123563.8341,0.03462164,179681035,29377650,0.03579496,0.0335563,0.00106534,3.1748,4.25785,15.07326,0.15487,-34.62386,-69.29416,52.64996,29377650,5843653,3.36156
kucoin,DOGE,"Meme, GMCI Meme Index",USDC,KuCoin,2024-09-20T01:20:04+00:00,0.057681%,697022.3027,0.104142,15206644234,672290786,0.107092,0.10371,-8.711657125e-05,-0.08358,1.5294,5.94156,1.30915,-25.69062,-30.24478,65.75825,672290786,-2747596.202,-0.01807
kucoin,ILV,"Gaming (GameFi), Metaverse, Gaming Governance Token",USDT,KuCoin,2024-09-20T01:20:06+00:00,0.061657%,4024.3693,39.07,265664119,24030897,40.35,38.78,-0.3888923563565,-0.98546,-0.24777,8.26265,-7.16614,-47.83289,-67.22091,-4.1423,24030897,-2263520.436397,-0.84483
kucoin,MON,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:20:13+00:00,0.074571%,1899413.15,0.134894,19262653,4570445,0.141197,0.134068,-0.002870803214234,-2.08385,-9.41284,4.10936,-18.66441,-37.28691,0.0,0.0,4570445,-414759.1325935,-2.10779
kucoin,ENJ,"Gaming (GameFi), Metaverse",USDT,KuCoin,2024-09-20T01:20:03+00:00,0.135044%,393443.2221,0.14883,257150153,15483877,0.151414,0.147543,0.00056487,0.38098,3.58819,11.21812,6.07784,-27.1666,-70.99461,-36.40175,15483877,887892,0.34648
kucoin,WAX,Gaming (GameFi),USDT,KuCoin,2024-09-20T01:20:05+00:00,0.091575%,798197.3077,0.03286637,115043091,11748077,0.03293636,0.03105435,0.00176017,5.65859,6.38086,17.31296,0.04399,-22.96456,-60.03743,-19.72705,11748077,6229157,5.7246
kucoin,AKT,Artificial Intelligence (AI),USDT,KuCoin,2024-09-20T01:45:14+00:00,0.092014%,172039.2396,2.62,647252361,16023320,2.73,2.6,0.00407453,0.15601,5.51161,17.63131,6.90454,-26.38849,-42.1007,205.81723,16023320,-882011.407298,-0.13608
kucoin,LINA,Real World Assets (RWA),USDT,KuCoin,2024-09-20T01:45:13+00:00,0.048828%,85113958.8347,0.00409285,27661673,6393447,0.00422299,0.00405802,-2.568496904287e-05,-0.62364,3.0837,10.47381,-2.13132,-33.45132,-69.25906,-61.82156,6393447,-193345.863642,-0.69411
